depth_m	ice_age_year_bp	delta_d_per_ml	temp_variation_degc	temp_c
0	0	-438	0	-55.16666667
1	17	-438	0	-55.16666667
2	35	-438	0	-55.16666667
3	53	-438	0	-55.16666667
4	72	-438	0	-55.16666667
5	91	-438	0	-55.16666667
6	110	-438	0	-55.16666667
7	129	-438	0	-55.16666667
8	149	-442.9	-0.81	-55.98333333
9	170	-437.9	0.02	-55.15
10	190	-435.8	0.36	-54.8
11	211	-443.7	-0.95	-56.11666667
12	234	-449.1	-1.84	-57.01666667
13	258	-444.6	-1.09	-56.26666667
14	281	-442.5	-0.75	-55.91666667
15	304	-439.3	-0.22	-55.38333333
16	327	-440.9	-0.48	-55.65
17	351	-442.5	-0.75	-55.91666667
18	375	-436.6	0.23	-54.93333333
19	397	-430	1.33	-53.83333333
20	420	-435.9	0.35	-54.81666667
21	444	-436.9	0.18	-54.98333333
22	469	-438.5	-0.08	-55.25
23	495	-444.5	-1.08	-56.25
24	523	-446.4	-1.39	-56.56666667
25	552	-447.7	-1.61	-56.78333333
26	581	-443.4	-0.9	-56.06666667
27	609	-441.6	-0.6	-55.76666667
28	637	-438.1	-0.02	-55.18333333
29	665	-439.1	-0.18	-55.35
30	695	-445.4	-1.23	-56.4
31	726	-447.3	-1.54	-56.71666667
32	757	-443.1	-0.85	-56.01666667
33	788	-438.6	-0.1	-55.26666667
34	817	-439	-0.17	-55.33333333
35	848	-442.7	-0.78	-55.95
36	881	-442.7	-0.78	-55.95
37	912	-439	-0.17	-55.33333333
38	944	-439.5	-0.25	-55.41666667
39	976	-439.7	-0.28	-55.45
40	1009	-442.9	-0.81	-55.98333333
41	1042	-438.3	-0.05	-55.21666667
42	1074	-436.4	0.27	-54.9
43	1107	-443	-0.83	-56
44	1142	-441.9	-0.65	-55.81666667
45	1176	-439.6	-0.27	-55.43333333
46	1211	-441.9	-0.65	-55.81666667
47	1247	-446.9	-1.48	-56.65
48	1285	-447.9	-1.64	-56.81666667
49	1321	-440.4	-0.4	-55.56666667
50	1356	-436	0.33	-54.83333333
51	1390	-438.3	-0.05	-55.21666667
52	1426	-438.8	-0.13	-55.3
53	1461	-438.2	-0.03	-55.2
54	1497	-440.8	-0.46	-55.63333333
55	1535	-444	-1	-56.16666667
56	1573	-443.8	-0.96	-56.13333333
57	1612	-446	-1.33	-56.5
58	1652	-447.1	-1.51	-56.68333333
59	1692	-443.3	-0.88	-56.05
60	1732	-444.4	-1.06	-56.23333333
61	1772	-445.3	-1.21	-56.38333333
62	1812	-445.5	-1.24	-56.41666667
63	1853	-443.8	-0.96	-56.13333333
64	1893	-441.2	-0.53	-55.7
65	1931	-437.1	0.15	-55.01666667
66	1970	-439.7	-0.28	-55.45
67	2009	-440.7	-0.45	-55.61666667
68	2049	-440.3	-0.38	-55.55
69	2089	-441.2	-0.53	-55.7
70	2129	-441.7	-0.61	-55.78333333
71	2171	-443.7	-0.95	-56.11666667
72	2212	-442.4	-0.73	-55.9
73	2253	-437.3	0.12	-55.05
74	2291	-431	1.16	-54
75	2331	-443.9	-0.98	-56.15
76	2374	-446.7	-1.44	-56.61666667
77	2418	-442.4	-0.73	-55.9
78	2460	-441.8	-0.63	-55.8
79	2501	-436.2	0.3	-54.86666667
80	2542	-439.6	-0.27	-55.43333333
81	2585	-446.2	-1.36	-56.53333333
82	2628	-439	-0.17	-55.33333333
83	2670	-438.1	-0.02	-55.18333333
84	2713	-445.2	-1.19	-56.36666667
85	2760	-449.9	-1.97	-57.15
86	2805	-441.7	-0.61	-55.78333333
87	2847	-434.5	0.58	-54.58333333
88	2889	-440.3	-0.38	-55.55
89	2934	-446.1	-1.34	-56.51666667
90	2980	-446.5	-1.41	-56.58333333
91	3026	-442.4	-0.73	-55.9
92	3070	-439.5	-0.25	-55.41666667
93	3114	-441.2	-0.53	-55.7
94	3158	-438.5	-0.08	-55.25
95	3201	-437.1	0.15	-55.01666667
96	3245	-440.6	-0.43	-55.6
97	3289	-441.7	-0.61	-55.78333333
98	3334	-439.8	-0.3	-55.46666667
99	3379	-438.8	-0.13	-55.3
100	3422	-436.7	0.22	-54.95
101	3466	-437	0.17	-55
102	3511	-443.5	-0.91	-56.08333333
103	3558	-443.4	-0.9	-56.06666667
104	3603	-436.2	0.3	-54.86666667
105	3646	-434.1	0.65	-54.51666667
106	3689	-434.5	0.58	-54.58333333
107	3732	-437.8	0.03	-55.13333333
108	3778	-441.8	-0.63	-55.8
109	3824	-440.8	-0.46	-55.63333333
110	3870	-438	0	-55.16666667
111	3915	-439.4	-0.23	-55.4
112	3962	-442	-0.66	-55.83333333
113	4009	-442.4	-0.73	-55.9
114	4057	-442.5	-0.75	-55.91666667
115	4104	-443.5	-0.91	-56.08333333
116	4153	-444.6	-1.09	-56.26666667
117	4202	-444	-1	-56.16666667
118	4250	-441.2	-0.53	-55.7
119	4295	-434.7	0.55	-54.61666667
120	4339	-431.2	1.13	-54.03333333
121	4381	-431.2	1.13	-54.03333333
122	4423	-431.2	1.13	-54.03333333
123	4466	-431.2	1.13	-54.03333333
124	4509	-431.2	1.13	-54.03333333
125	4552	-432.7	0.88	-54.28333333
126	4596	-436.8	0.2	-54.96666667
127	4642	-440	-0.33	-55.5
128	4690	-443.3	-0.88	-56.05
129	4739	-441.5	-0.58	-55.75
130	4786	-436.5	0.25	-54.91666667
131	4831	-438	0	-55.16666667
132	4880	-444.9	-1.14	-56.31666667
133	4929	-442	-0.66	-55.83333333
134	4977	-440.2	-0.36	-55.53333333
135	5025	-442	-0.66	-55.83333333
136	5072	-437.2	0.13	-55.03333333
137	5118	-436.9	0.18	-54.98333333
138	5165	-440.3	-0.38	-55.55
139	5212	-439.3	-0.22	-55.38333333
140	5259	-436.3	0.28	-54.88333333
141	5305	-437.4	0.1	-55.06666667
142	5351	-437.5	0.08	-55.08333333
143	5397	-435	0.5	-54.66666667
144	5442	-435	0.5	-54.66666667
145	5488	-436.8	0.2	-54.96666667
146	5534	-437.9	0.02	-55.15
147	5581	-437.5	0.08	-55.08333333
148	5627	-437.8	0.03	-55.13333333
149	5674	-438.4	-0.06	-55.23333333
150	5721	-438.9	-0.15	-55.31666667
151	5769	-439.5	-0.25	-55.41666667
152	5816	-439.3	-0.22	-55.38333333
153	5863	-437.1	0.15	-55.01666667
154	5909	-435.3	0.45	-54.71666667
155	5955	-438.8	-0.13	-55.3
156	6004	-442.4	-0.73	-55.9
157	6052	-439.3	-0.21	-55.38333333
158	6099	-436.1	0.32	-54.85
159	6145	-439	-0.17	-55.33333333
160	6193	-440.2	-0.33	-55.53333333
161	6241	-437.6	0.09	-55.1
162	6287	-436.4	0.28	-54.9
163	6334	-441.3	-0.55	-55.71666667
164	6385	-447.5	-1.59	-56.75
165	6436	-444.4	-1.09	-56.23333333
166	6486	-439.6	-0.31	-55.43333333
167	6534	-441.4	-0.62	-55.73333333
168	6583	-441.5	-0.65	-55.75
169	6631	-435.3	0.37	-54.71666667
170	6677	-435.2	0.37	-54.7
171	6724	-439.5	-0.36	-55.41666667
172	6773	-442.3	-0.84	-55.88333333
173	6823	-444.9	-1.28	-56.31666667
174	6874	-444	-1.14	-56.16666667
175	6924	-440.5	-0.58	-55.58333333
176	6973	-440.5	-0.59	-55.58333333
177	7023	-443.2	-1.05	-56.03333333
178	7074	-444	-1.2	-56.16666667
179	7124	-440.5	-0.63	-55.58333333
180	7172	-436.5	0.02	-54.91666667
181	7220	-436.8	-0.04	-54.96666667
182	7267	-437.1	-0.11	-55.01666667
183	7315	-438.1	-0.29	-55.18333333
184	7364	-441.2	-0.81	-55.7
185	7413	-439.7	-0.58	-55.45
186	7462	-436	0.02	-54.83333333
187	7509	-436.2	-0.03	-54.86666667
188	7555	-433.1	0.48	-54.35
189	7602	-436	-0.02	-54.83333333
190	7649	-435.7	0.02	-54.78333333
191	7697	-436	-0.04	-54.83333333
192	7745	-440	-0.72	-55.5
193	7794	-439	-0.57	-55.33333333
194	7844	-440.9	-0.9	-55.65
195	7894	-441	-0.93	-55.66666667
196	7944	-439.5	-0.69	-55.41666667
197	7994	-438.5	-0.54	-55.25
198	8043	-439	-0.64	-55.33333333
